,N,Q_1 [lb/h],proportion_%
/record_00,1548,4,0.2583979328165375
/record_01,2844,0,0.0
/record_02,2339,3,0.12825994014536127
/record_03,2400,8,0.33333333333333337
/record_04,1152,31,2.6909722222222223
/record_05,1183,2,0.16906170752324598
/record_10,872,69,7.912844036697248
/record_100,2582,0,0.0
/record_1000,1678,1,0.05959475566150178
/record_1001,1617,2,0.12368583797155226
/record_101,2766,4,0.14461315979754158
/record_102,4258,40,0.9394081728511038
/record_103,4599,6,0.1304631441617743
/record_104,1949,0,0.0
/record_105,2584,61,2.3606811145510833
/record_106,1163,2,0.17196904557179707
/record_107,1324,44,3.3232628398791544
/record_108,1471,5,0.3399048266485384
/record_109,1379,80,5.8013052936910805
/record_11,2016,16,0.7936507936507936
/record_110,2259,23,1.018149623727313
/record_111,2043,0,0.0
/record_112,3211,118,3.674867642478979
/record_113,972,0,0.0
/record_114,2325,35,1.5053763440860215
/record_115,983,0,0.0
/record_116,1974,56,2.8368794326241136
/record_117,2054,46,2.239532619279455
/record_118,1370,84,6.131386861313868
/record_119,1368,78,5.701754385964912
/record_12,1958,53,2.706843718079673
/record_120,1966,8,0.40691759918616477
/record_121,1175,23,1.9574468085106382
/record_122,1167,59,5.055698371893745
/record_123,304,60,19.736842105263158
/record_124,2463,91,3.6946812829882254
/record_125,3636,0,0.0
/record_126,1038,20,1.9267822736030826
/record_127,2742,50,1.8234865061998542
/record_128,1855,27,1.4555256064690028
/record_129,1948,64,3.285420944558522
/record_13,1179,22,1.8659881255301103
/record_130,1489,15,1.0073875083948958
/record_131,1112,6,0.539568345323741
/record_132,595,44,7.394957983193278
/record_133,630,44,6.984126984126984
/record_134,2131,49,2.299389957766307
/record_135,2141,49,2.288650163475012
/record_136,3579,73,2.039675887119307
/record_137,3546,58,1.6356457980823462
/record_138,1694,27,1.5938606847697756
/record_139,2084,0,0.0
/record_14,2111,1,0.047370914258645196
/record_140,1662,75,4.512635379061372
/record_141,1701,36,2.1164021164021163
/record_142,1446,40,2.7662517289073305
/record_143,1818,50,2.7502750275027505
/record_144,3618,6,0.16583747927031509
/record_145,5507,29,0.5266025059015798
/record_146,2841,23,0.8095740936290039
/record_147,1577,13,0.8243500317057704
/record_148,2251,11,0.48867170146601513
/record_149,1278,10,0.7824726134585289
/record_15,2633,10,0.379794910748196
/record_150,329,36,10.94224924012158
/record_151,611,4,0.6546644844517185
/record_152,1367,25,1.8288222384784198
/record_153,808,24,2.9702970297029703
/record_154,3015,3,0.09950248756218905
/record_155,807,41,5.080545229244114
/record_156,711,4,0.5625879043600562
/record_157,2157,10,0.4636068613815485
/record_158,2524,16,0.6339144215530903
/record_159,2476,7,0.28271405492730206
/record_16,2961,18,0.60790273556231
/record_160,1186,48,4.0472175379426645
/record_161,2747,6,0.2184200946487077
/record_162,1143,0,0.0
/record_163,2024,7,0.3458498023715415
/record_164,2469,73,2.9566626164439045
/record_165,2096,0,0.0
/record_166,2001,3,0.14992503748125938
/record_167,2167,2,0.09229349330872173
/record_168,2865,0,0.0
/record_169,839,0,0.0
/record_17,2793,0,0.0
/record_170,3616,9,0.2488938053097345
/record_171,3541,2,0.05648121999435188
/record_172,2206,38,1.7225747960108795
/record_173,2402,0,0.0
/record_174,2570,28,1.0894941634241244
/record_175,3042,7,0.23011176857330704
/record_176,2565,59,2.3001949317738792
/record_177,2066,6,0.29041626331074544
/record_178,3463,46,1.3283280392723074
/record_179,802,29,3.6159600997506236
/record_18,2217,18,0.8119079837618403
/record_180,2901,116,3.9986211651154777
/record_181,3187,1,0.031377470975839344
/record_182,4561,10,0.21925016443762332
/record_183,4536,2,0.04409171075837742
/record_184,1935,66,3.4108527131782944
/record_185,1695,19,1.12094395280236
/record_186,2518,19,0.7545671167593329
/record_187,3235,2,0.061823802163833076
/record_188,2334,78,3.3419023136246784
/record_189,2356,0,0.0
/record_19,2536,3,0.11829652996845426
/record_190,2476,50,2.0193861066235863
/record_191,2716,4,0.14727540500736377
/record_192,3072,13,0.4231770833333333
/record_193,3357,9,0.2680965147453083
/record_194,3461,36,1.0401618029471251
/record_195,2380,0,0.0
/record_196,3270,83,2.53822629969419
/record_197,627,0,0.0
/record_198,1787,14,0.783435926133184
/record_199,2981,9,0.30191211003019125
/record_20,699,2,0.28612303290414876
/record_200,3531,30,0.8496176720475787
/record_201,2100,8,0.38095238095238093
