vol,duree_montee_s,altitude_debut_ft,altitude_fin_ft,effort_total_lb
0,1548,278.19843288,39406.808017452,3315.996746602079
1,2844,579.5800685,39100.789741283996,5088.501199113067
2,2339,129.825935344,40575.241435548,4287.4839432900335
3,2400,255.01523014,41729.764932,4249.140150671183
4,1152,-13.909921644,33611.007332452,2512.027468831458
5,1183,-18.546562192,32456.483836,2600.724115224879
10,872,32.456483836,40575.241435548,2016.7340253325342
11,2582,41.729764932,40565.968154452,4379.600747194683
12,1678,862.415141928,35929.327606451996,3307.022744293411
13,1617,74.186248768,34779.440750548,3235.4533609892965
14,2766,199.375543564,41720.491650904,4755.8156665632105
15,4258,125.189294796,39406.808017452,6728.678530012616
16,4599,574.943427952,40570.604795,6740.426446136689
17,1949,176.19234082399998,35933.964246999996,3767.2854471187375
18,2584,148.372497536,37088.487743452,4551.612286149641
19,1163,111.279373152,33615.643973,2526.875429202162
20,1324,60.276327124,34779.440750548,2771.5984096871866
21,1471,55.639686576,40561.331513904,2980.3760401711925
22,1379,139.09921644,39406.808017452,2839.0532544512266
23,2016,162.28241918,40570.604795,3776.0271867955735
24,2259,-13.909921644,40565.968154452,4158.284544891714
25,2043,166.919059728,39406.808017452,3761.4873053562105
26,3211,227.19538685199998,40561.331513904,5355.291536488803
27,972,139.09921644,34746.984266712,2434.9656158295074
28,2325,208.64882466,37093.124384,3988.180447757762
29,983,273.561792332,38252.284521,2339.5658458127423
30,1974,129.825935344,40575.241435548,3762.072173952431
31,2054,88.09617041199999,37079.214462356,3842.124558768386
32,1370,301.38163562,35929.327606451996,2857.766642663615
33,1368,-51.003046028,34760.894188356,2811.58248192877
34,1958,213.285465208,39425.354579644,3625.6269035009427
35,1966,213.285465208,38247.647880452,3722.0195060112906
36,1175,157.645778632,39420.717939096,2678.558572421836
37,1167,-32.456483836,33620.280613548,2572.330309341721
38,304,0.0,14679.603974968,964.1426431020888
39,2463,347.74804109999997,39406.808017452,4477.2389031969815
40,3636,1024.697561108,38247.647880452,5904.602288238613
41,1038,-37.093124384,35586.2162059,2524.428849251308
42,2742,250.378589592,39397.534736356,4671.001296078031
43,1855,106.642732604,40575.241435548,3536.323726711441
44,1948,231.8320274,39411.444658,3635.86812110142
45,1179,-18.546562192,32896.96468806,2683.675570922098
46,1489,-27.819843288,35924.690965904,2896.2692884814396
47,1112,51.003046028,32451.847195452,2377.753192099271
48,595,-27.819843288,23211.022583288,1610.400780125329
49,630,-27.819843288,24708.657480292,1696.0731985716288
50,2131,222.558746304,41725.128291452,3869.9804299550215
51,2141,222.558746304,41729.764932,3881.291499781918
52,3579,139.09921644,40570.604795,5885.470105228931
53,3546,231.8320274,39411.444658,5573.60035891121
54,1694,129.825935344,39416.081298548,3409.323000998912
55,2084,463.6640548,40570.604795,3940.228443467676
56,2111,157.645778632,39402.171376904,3849.8602281850576
57,1662,-18.546562192,41725.128291452,3414.507391765406
58,1701,806.775455352,33601.734051356,3205.87056298049
59,1446,190.102262468,37097.761024548,3053.6615193975485
60,1818,867.051782476,38243.011239904,3548.199206768023
61,3618,55.639686576,39402.171376904,5786.70072190061
62,5507,287.471713976,41729.764932,8162.019368382282
63,2841,176.19234082399998,40565.968154452,5040.23509872501
64,1577,357.02132219599997,41715.855010356,3422.1022594829865
65,2251,190.102262468,38243.011239904,3963.304277485203
66,1278,74.186248768,35920.054325356,2747.183154378315
67,2633,227.19538685199998,39406.808017452,4440.275448602543
68,329,88.09617041199999,15991.773250052,1021.1998239333288
69,611,171.555700276,24017.79803864,1601.6482095485635
70,1367,0.0,30128.890280904,2701.1542365424666
71,808,-32.456483836,30008.337626656,2102.325813746022
72,3015,32.456483836,39406.808017452,4893.504083639998
73,807,97.369451508,36175.069555496,2172.98179115604
74,711,-41.729764932,25492.249732903998,1843.1857020208422
75,2157,162.28241918,38247.647880452,3669.2393272190757
76,2524,282.835073428,40556.694873356,4420.037310366675
77,2476,120.552654248,41729.764932,4345.635045014204
78,2961,74.186248768,38270.831083192,4730.639841392587
79,1186,27.819843288,35929.327606451996,2673.320027155692
80,2747,148.372497536,41720.491650904,4957.738540824851
81,1143,41.729764932,34765.530828904,2543.124185963813
82,2024,102.006092056,40565.968154452,4029.3186125585535
83,2469,194.738903016,39406.808017452,4250.859856893401
84,2096,171.555700276,35910.78104426,3881.8198070118365
85,2001,18.546562192,37093.124384,3761.5655285223725
86,2167,-27.819843288,35929.327606451996,4089.3603080371704
87,2865,148.372497536,34770.167469452,5114.619312577599
88,839,199.375543564,35535.213159872,2263.530521437491
89,2793,217.922105756,35933.964246999996,4727.338823780588
90,3616,1052.517404396,40584.514716644,6020.423118356731
91,3541,-37.093124384,40552.058232808,5926.723799628975
92,2206,282.835073428,40570.604795,4166.46307777219
93,2402,111.279373152,39411.444658,4326.149052606807
94,2570,208.64882466,40561.331513904,4596.737425557998
95,3042,222.558746304,39411.444658,5011.8906336082
96,2565,-18.546562192,40565.968154452,4594.389527139839
97,2066,125.189294796,41725.128291452,3837.5707670644842
98,3463,273.561792332,38261.557802096,5564.270140338176
99,802,153.009138084,31770.261034896,2009.2558906475322
100,2217,185.46562192,39411.444658,3937.9551579157005
101,2901,-27.819843288,40589.151357192,5172.195173172153
102,3187,143.735856988,39443.901141836,5248.2954829469845
103,4561,319.928197812,37088.487743452,7323.93034896551
104,4536,2244.134025232,38243.011239904,7293.585777661627
105,1935,310.654916716,39402.171376904,3689.4822791882457
106,1695,208.64882466,38261.557802096,3297.236424489993
107,2518,213.285465208,40589.151357192,4646.625754068904
108,3235,162.28241918,40565.968154452,5577.964008149673
109,2334,236.468667948,40565.968154452,4222.322842444502
110,2356,250.378589592,41739.038213096,4164.033345887893
111,2536,255.01523014,39406.808017452,4474.663555880294
112,2476,236.468667948,38256.921161548,4309.926771378318
113,2716,171.555700276,39411.444658,4616.448459997272
114,3072,259.651870688,39416.081298548,5294.155920117255
115,3357,296.744995072,41729.764932,5609.838143210338
116,3461,1020.06092056,40570.604795,5676.8176318107835
117,2380,185.46562192,40570.604795,4216.5234972486505
118,3270,380.204524936,39411.444658,5494.830834020295
119,627,190.102262468,29632.769742268,1843.4877637855566
120,1787,60.276327124,38252.284521,3340.4144087776012
121,2981,106.642732604,38247.647880452,5185.981705349717
122,699,839.231939188,31255.593934067998,1923.5281142682566
123,3531,92.73281096,41720.491650904,5549.414959367519
124,2100,92.73281096,38247.647880452,4015.0495036174407
125,2606,157.645778632,39406.808017452,4568.1149673429845
126,2105,282.835073428,40565.968154452,3947.254087222269
127,2465,236.468667948,39406.808017452,4099.472758271814
128,2586,231.8320274,38270.831083192,4708.471396102528
129,2995,97.369451508,39411.444658,4931.72031232634
130,2508,-37.093124384,40589.151357192,4299.900968343116
131,2826,273.561792332,41734.401572548,4876.872635080819
133,1672,176.19234082399998,40575.241435548,3487.757971425321
134,1069,106.642732604,37093.124384,2337.3912417934635
136,2399,204.012184112,39411.444658,3924.1686257381366
137,1723,139.09921644,39411.444658,3395.735035320064
138,1993,663.039598364,38247.647880452,3838.5094450584174
139,2371,213.285465208,41725.128291452,4356.091677179955
140,2327,607.3999117879999,40561.331513904,4173.101215995954
141,1777,282.835073428,39416.081298548,3545.956007049188
142,1734,282.835073428,40565.968154452,3501.0354513061757
143,1942,217.922105756,39411.444658,3669.03233668708
144,3925,23.18320274,40565.968154452,6297.051523168885
145,2383,148.372497536,40565.968154452,3707.799737836526
146,1731,241.105308496,38252.284521,3421.890455217689
148,2126,-27.819843288,40561.331513904,3979.8899955780103
149,1991,310.654916716,41734.401572548,3732.500206843554
150,3499,343.111400552,38229.10131826,5937.610057491951
151,3360,241.105308496,39425.354579644,5570.662778163527
152,2024,282.835073428,38247.647880452,3868.413559765148
153,1861,74.186248768,37093.124384,3556.648512146749
154,2303,102.006092056,38261.557802096,4089.3482737039158
155,2700,157.645778632,38247.647880452,4797.5062072604305
157,1264,60.276327124,31292.687058452,2712.714417067753
